Tanggal,Status,IpAddress,Nik
"09/18/23 03:19:00",0,"192.168.48.111","4382"
"09/18/23 03:19:00",0,"192.168.48.111","5026"
"09/18/23 03:21:00",0,"192.168.48.111","4718"
"09/18/23 03:26:00",0,"192.168.48.111","1434"
"09/18/23 03:27:00",0,"192.168.48.111","4611"
"09/18/23 03:29:00",0,"192.168.48.111","4551"
"09/18/23 03:31:00",0,"192.168.48.111","4695"
"09/18/23 03:32:00",0,"192.168.48.111","4661"
"09/18/23 03:42:00",0,"192.168.48.111","4827"
"09/18/23 03:59:00",0,"192.168.48.111","1701"
"09/18/23 03:59:00",0,"192.168.48.111","1462"
"09/18/23 04:00:00",0,"192.168.48.111","1408"
"09/18/23 04:00:00",0,"192.168.48.111","4905"
"09/18/23 04:00:00",0,"192.168.48.111","4620"
"09/18/23 04:00:00",0,"192.168.48.111","4469"
"09/18/23 04:01:00",0,"192.168.48.111","4977"
"09/18/23 04:01:00",0,"192.168.48.111","4856"
"09/18/23 04:01:00",0,"192.168.48.111","4911"
"09/18/23 04:01:00",0,"192.168.48.111","4904"
"09/18/23 04:01:00",0,"192.168.48.111","5013"
"09/18/23 04:01:00",0,"192.168.48.111","1821"
"09/18/23 04:01:00",0,"192.168.48.111","4871"
"09/18/23 04:02:00",0,"192.168.48.111","1439"
"09/18/23 04:02:00",0,"192.168.48.111","1852"
"09/18/23 04:02:00",0,"192.168.48.111","1550"
"09/18/23 04:03:00",0,"192.168.48.111","4910"
"09/18/23 04:03:00",0,"192.168.48.111","4446"
"09/18/23 04:03:00",0,"192.168.48.111","4616"
"09/18/23 04:03:00",0,"192.168.48.111","1417"
"09/18/23 04:03:00",0,"192.168.48.111","4303"
"09/18/23 04:03:00",0,"192.168.48.111","4899"
"09/18/23 04:03:00",0,"192.168.48.111","4684"
"09/18/23 04:03:00",0,"192.168.48.111","4518"
"09/18/23 04:03:00",0,"192.168.48.111","4637"
"09/18/23 04:03:00",0,"192.168.48.111","4375"
"09/18/23 04:04:00",0,"192.168.48.111","4447"
"09/18/23 04:04:00",0,"192.168.48.111","4449"
"09/18/23 04:04:00",0,"192.168.48.111","4309"
"09/18/23 04:04:00",0,"192.168.48.111","5039"
"09/18/23 04:04:00",0,"192.168.48.111","3358"
"09/18/23 04:04:00",0,"192.168.48.111","4646"
"09/18/23 04:04:00",0,"192.168.48.111","4845"
"09/18/23 04:05:00",0,"192.168.48.111","3047"
"09/18/23 04:05:00",0,"192.168.48.111","4898"
"09/18/23 04:05:00",0,"192.168.48.111","3499"
"09/18/23 04:06:00",0,"192.168.48.111","4534"
"09/18/23 04:06:00",0,"192.168.48.111","4971"
"09/18/23 04:06:00",0,"192.168.48.111","4943"
"09/18/23 04:07:00",0,"192.168.48.111","4584"
"09/18/23 04:07:00",0,"192.168.48.111","4917"
"09/18/23 04:08:00",0,"192.168.48.111","4292"
"09/18/23 04:08:00",0,"192.168.48.111","4807"
"09/18/23 04:08:00",0,"192.168.48.111","4354"
"09/18/23 04:09:00",0,"192.168.48.111","4554"
"09/18/23 04:09:00",0,"192.168.48.111","4465"
"09/18/23 04:09:00",0,"192.168.48.111","4369"
"09/18/23 04:09:00",0,"192.168.48.111","4796"
"09/18/23 04:09:00",0,"192.168.48.111","4895"
"09/18/23 04:09:00",0,"192.168.48.111","4877"
"09/18/23 04:10:00",0,"192.168.48.111","4870"
"09/18/23 04:11:00",0,"192.168.48.111","4800"
"09/18/23 04:12:00",0,"192.168.48.111","1512"
"09/18/23 04:12:00",0,"192.168.48.111","4806"
"09/18/23 04:12:00",0,"192.168.48.111","1479"
"09/18/23 04:13:00",0,"192.168.48.111","4316"
"09/18/23 04:14:00",0,"192.168.48.111","3005"
"09/18/23 04:15:00",0,"192.168.48.111","4916"
"09/18/23 04:15:00",0,"192.168.48.111","1205"
"09/18/23 04:16:00",0,"192.168.48.111","7018"
"09/18/23 04:17:00",0,"192.168.48.111","1223"
"09/18/23 04:17:00",0,"192.168.48.111","4991"
"09/18/23 04:20:00",0,"192.168.48.111","4260"
"09/18/23 04:23:00",0,"192.168.48.111","4792"
"09/18/23 04:27:00",0,"192.168.48.111","4773"
"09/18/23 04:37:00",0,"192.168.48.111","4608"
"09/18/23 04:40:00",0,"192.168.48.111","3013"
"09/18/23 04:40:00",0,"192.168.48.111","4340"
"09/18/23 04:42:00",0,"192.168.48.111","7047"
"09/18/23 04:50:00",0,"192.168.48.111","4597"
"09/18/23 04:53:00",0,"192.168.48.111","4659"
"09/18/23 04:57:00",0,"192.168.48.111","4481"
"09/18/23 05:00:00",0,"192.168.48.111","4737"
"09/18/23 05:01:00",0,"192.168.48.111","4846"
"09/18/23 05:01:00",0,"192.168.48.111","3339"
"09/18/23 05:01:00",0,"192.168.48.111","4540"
"09/18/23 05:01:00",0,"192.168.48.111","4489"
"09/18/23 05:01:00",0,"192.168.48.111","4173"
"09/18/23 05:02:00",0,"192.168.48.111","4618"
"09/18/23 05:02:00",0,"192.168.48.111","6003"
"09/18/23 05:02:00",0,"192.168.48.111","5053"
"09/18/23 05:02:00",0,"192.168.48.111","4505"
"09/18/23 05:02:00",0,"192.168.48.111","4301"
"09/18/23 05:03:00",0,"192.168.48.111","6005"
"09/18/23 05:03:00",0,"192.168.48.111","4468"
"09/18/23 05:04:00",0,"192.168.48.111","4965"
"09/18/23 05:04:00",0,"192.168.48.111","4969"
"09/18/23 05:04:00",0,"192.168.48.111","4556"
"09/18/23 05:04:00",0,"192.168.48.111","4900"
"09/18/23 05:05:00",0,"192.168.48.111","4906"
"09/18/23 05:05:00",0,"192.168.48.111","4759"
"09/18/23 05:05:00",0,"192.168.48.111","6004"
"09/18/23 05:06:00",0,"192.168.48.111","4523"
"09/18/23 05:06:00",0,"192.168.48.111","4727"
"09/18/23 05:06:00",0,"192.168.48.111","4530"
"09/18/23 05:06:00",0,"192.168.48.111","4776"
"09/18/23 05:07:00",0,"192.168.48.111","4452"
"09/18/23 05:08:00",0,"192.168.48.111","4930"
"09/18/23 05:08:00",0,"192.168.48.111","4955"
"09/18/23 05:09:00",0,"192.168.48.111","4964"
"09/18/23 05:10:00",0,"192.168.48.111","4491"
"09/18/23 05:15:00",0,"192.168.48.111","4453"
"09/18/23 05:29:00",0,"192.168.48.111","1350"
"09/18/23 05:41:00",0,"192.168.48.111","1431"
"09/18/23 05:41:00",0,"192.168.48.111","3598"
"09/18/23 05:42:00",0,"192.168.48.111","4908"
"09/18/23 05:47:00",0,"192.168.48.111","1770"
"09/18/23 05:50:00",0,"192.168.48.111","1827"
"09/18/23 05:55:00",0,"192.168.48.111","1374"
"09/18/23 06:00:00",0,"192.168.48.111","1791"
"09/18/23 06:00:00",0,"192.168.48.111","4427"
"09/18/23 06:00:00",0,"192.168.48.111","1374"
"09/18/23 06:01:00",0,"192.168.48.111","1288"
"09/18/23 06:01:00",0,"192.168.48.111","1842"
"09/18/23 06:01:00",0,"192.168.48.111","1849"
"09/18/23 06:04:00",0,"192.168.48.111","1593"
"09/18/23 06:06:00",0,"192.168.48.111","1368"
"09/18/23 06:07:00",0,"192.168.48.111","1292"
"09/18/23 06:09:00",0,"192.168.48.111","1843"
"09/18/23 06:26:00",0,"192.168.48.111","3842"
"09/18/23 07:01:00",0,"192.168.48.111","4454"
