Barcode,Nama,Date,Time
3842,,09-18-2023,06:26
4454,,09-18-2023,07:01
4760,,09-18-2023,07:25
4381,,09-18-2023,07:29
1071,,09-18-2023,09:05
4988,,09-18-2023,10:26
1616,,09-18-2023,10:27
4978,,09-18-2023,10:46
5032,,09-18-2023,10:51
5019,,09-18-2023,11:00
4783,,09-18-2023,11:00
4722,,09-18-2023,11:00
1414,,09-18-2023,11:01
4855,,09-18-2023,11:01
4808,,09-18-2023,11:01
4295,,09-18-2023,11:01
4298,,09-18-2023,11:01
4400,,09-18-2023,11:01
4937,,09-18-2023,11:01
4706,,09-18-2023,11:01
4325,,09-18-2023,11:01
4547,,09-18-2023,11:01
4426,,09-18-2023,11:02
4433,,09-18-2023,11:02
4709,,09-18-2023,11:02
4823,,09-18-2023,11:02
4501,,09-18-2023,11:02
1705,,09-18-2023,11:02
4743,,09-18-2023,11:02
1405,,09-18-2023,11:02
3042,,09-18-2023,11:03
4474,,09-18-2023,11:03
1448,,09-18-2023,11:03
4269,,09-18-2023,11:03
4262,,09-18-2023,11:03
1455,,09-18-2023,11:03
4430,,09-18-2023,11:03
4509,,09-18-2023,11:03
4697,,09-18-2023,11:03
4363,,09-18-2023,11:03
4493,,09-18-2023,11:03
1572,,09-18-2023,11:04
1339,,09-18-2023,11:04
1377,,09-18-2023,11:04
4490,,09-18-2023,11:04
4717,,09-18-2023,11:04
4580,,09-18-2023,11:05
4184,,09-18-2023,11:05
4411,,09-18-2023,11:05
1839,,09-18-2023,11:05
4780,,09-18-2023,11:06
4437,,09-18-2023,11:06
1429,,09-18-2023,11:06
4909,,09-18-2023,11:08
4975,,09-18-2023,11:09
4959,,09-18-2023,11:14
4925,,09-18-2023,11:19
4438,,09-18-2023,11:22
4720,,09-18-2023,11:48
5014,,09-18-2023,11:59
5026,,09-19-2023,05:28
1849,,09-19-2023,05:43
4384,,09-19-2023,05:51
1400,,09-19-2023,06:01
1833,,09-19-2023,06:02
1431,,09-19-2023,06:08
1837,,09-19-2023,06:09
1350,,09-19-2023,06:09
4386,,09-19-2023,06:11
1825,,09-19-2023,06:12
1827,,09-19-2023,06:12
1770,,09-19-2023,06:16
1848,,09-19-2023,06:16
4756,,09-19-2023,06:17
5020,,09-19-2023,06:23
4382,,09-19-2023,06:29
4633,,09-19-2023,06:30
4760,,09-19-2023,06:31
4454,,09-19-2023,06:37
4397,,09-19-2023,06:38
4924,,09-19-2023,06:40
4392,,09-19-2023,06:42
4922,,09-19-2023,06:43
1100,,09-19-2023,06:43
3598,,09-19-2023,06:44
5053,,09-19-2023,06:47
4798,,09-19-2023,06:48
1381,,09-19-2023,06:48
4537,,09-19-2023,06:50
4972,,09-19-2023,06:50
4427,,09-19-2023,06:51
4428,,09-19-2023,06:54
4620,,09-19-2023,06:54
1318,,09-19-2023,06:57
1473,,09-19-2023,06:57
1428,,09-19-2023,07:01
1415,,09-19-2023,07:01
1684,,09-19-2023,07:01
4334,,09-19-2023,07:02
1424,,09-19-2023,07:02
4988,,09-19-2023,07:02
4574,,09-19-2023,07:03
4738,,09-19-2023,07:04
4685,,09-19-2023,07:05
4719,,09-19-2023,07:05
4936,,09-19-2023,07:05
4891,,09-19-2023,07:06
4978,,09-19-2023,07:06
1588,,09-19-2023,07:09
4724,,09-19-2023,07:09
1479,,09-19-2023,07:10
1706,,09-19-2023,07:10
4841,,09-19-2023,07:10
4323,,09-19-2023,07:11
5029,,09-19-2023,07:12
4987,,09-19-2023,07:14
4703,,09-19-2023,07:15
4769,,09-19-2023,07:17
4408,,09-19-2023,07:21
3842,,09-19-2023,07:22
4389,,09-19-2023,07:22
4935,,09-19-2023,07:24
4906,,09-19-2023,07:26
4977,,09-19-2023,07:26
4795,,09-19-2023,07:27
4489,,09-19-2023,07:31
3047,,09-19-2023,07:32
4796,,09-19-2023,07:35
1439,,09-19-2023,07:35
1408,,09-19-2023,07:37
1223,,09-19-2023,07:38
4375,,09-19-2023,07:39
4895,,09-19-2023,07:41
7047,,09-19-2023,07:43
4530,,09-19-2023,07:45
4369,,09-19-2023,07:45
4452,,09-19-2023,07:45
4898,,09-19-2023,07:46
1852,,09-19-2023,07:48
3005,,09-19-2023,07:48
1535,,09-19-2023,07:51
4806,,09-19-2023,07:53
4867,,09-19-2023,07:54
4200,,09-19-2023,07:55
5048,,09-19-2023,07:56
4667,,09-19-2023,07:57
4976,,09-19-2023,07:58
4342,,09-19-2023,08:00
4966,,09-19-2023,08:21
4979,,09-19-2023,09:00
4268,,09-19-2023,02:02
1363,,09-19-2023,02:05
4657,,09-19-2023,02:20
4866,,09-19-2023,02:20
4709,,09-19-2023,02:27
4678,,09-19-2023,02:28
4735,,09-19-2023,02:28
4534,,09-19-2023,02:29
4590,,09-19-2023,02:29
4811,,09-19-2023,02:42
4463,,09-19-2023,02:42
1419,,09-19-2023,02:45
1407,,09-19-2023,02:46
4975,,09-19-2023,02:56
4751,,09-19-2023,02:59
4927,,09-19-2023,03:00
4473,,09-19-2023,03:01
4756,,09-19-2023,03:01
4353,,09-19-2023,03:01
1384,,09-19-2023,03:01
4830,,09-19-2023,03:01
4824,,09-19-2023,03:02
4922,,09-19-2023,03:02
5020,,09-19-2023,03:02
4986,,09-19-2023,03:02
4852,,09-19-2023,03:02
4599,,09-19-2023,03:02
4633,,09-19-2023,03:03
4451,,09-19-2023,03:03
4628,,09-19-2023,03:04
4629,,09-19-2023,03:04
1856,,09-19-2023,03:04
1100,,09-19-2023,03:04
5063,,09-19-2023,03:05
